Accel_X(g),Accel_Y(g),Accel_Z(g),Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps),Temperature
0.14,0.94,-0.07,0.06,-0.03,0.05,249
0.14,0.94,-0.07,0.01,-0.02,0.02,249
0.14,0.94,-0.07,-0.02,-0.03,0.01,249
0.14,0.94,-0.07,0.01,-0.00,0.00,249
0.14,0.94,-0.07,-0.01,0.01,0.02,249
0.14,0.94,-0.07,-0.06,-0.03,0.02,249
0.14,0.94,-0.07,-0.08,-0.08,-0.04,249
0.14,0.94,-0.07,-0.07,-0.08,-0.07,249
0.14,0.94,-0.07,-0.05,-0.08,-0.13,250
0.14,0.94,-0.07,-0.03,-0.10,-0.14,249
0.14,0.94,-0.07,-0.04,-0.08,-0.06,249
0.14,0.94,-0.07,-0.03,-0.01,0.02,249
0.14,0.94,-0.07,0.05,0.05,0.09,249
0.14,0.94,-0.07,0.09,0.06,0.15,249
0.14,0.94,-0.07,0.07,0.03,0.14,249
0.14,0.94,-0.07,0.02,0.05,0.12,249
0.14,0.94,-0.07,0.00,0.07,0.11,249
0.14,0.94,-0.07,0.04,0.05,0.05,249
0.14,0.94,-0.07,0.05,0.05,0.01,250
0.14,0.94,-0.07,0.03,0.03,-0.03,249
0.14,0.94,-0.07,-0.03,-0.03,-0.03,249
0.14,0.94,-0.07,-0.04,-0.00,0.02,249
0.14,0.94,-0.07,-0.06,0.04,0.01,249
0.14,0.94,-0.07,-0.10,-0.02,-0.11,249
0.14,0.94,-0.07,-0.09,-0.07,-0.16,249
0.14,0.94,-0.07,-0.06,-0.05,-0.16,249
0.14,0.94,-0.07,-0.06,-0.03,-0.13,249
0.14,0.94,-0.07,-0.05,-0.03,-0.04,249
0.14,0.94,-0.07,0.01,0.00,0.00,249
0.14,0.94,-0.07,0.03,0.04,-0.00,249
0.14,0.94,-0.07,0.01,0.05,0.02,249
0.14,0.94,-0.07,0.01,0.04,0.10,249
0.14,0.94,-0.07,0.05,0.01,0.13,250
0.14,0.94,-0.07,0.05,-0.02,0.12,249
0.14,0.94,-0.07,0.01,-0.02,0.06,250
0.14,0.94,-0.07,0.05,-0.01,0.01,249
0.14,0.94,-0.07,0.07,-0.01,0.09,249
0.14,0.94,-0.07,0.08,0.01,0.16,250
0.14,0.94,-0.07,0.08,0.04,0.15,250
0.14,0.94,-0.07,0.04,0.01,0.08,249
0.14,0.94,-0.07,-0.02,0.01,-0.04,249
0.14,0.94,-0.07,-0.04,-0.01,-0.09,249
0.14,0.94,-0.07,-0.09,-0.08,-0.12,249
0.14,0.94,-0.07,-0.11,-0.06,-0.11,249
0.14,0.94,-0.07,-0.10,-0.03,-0.13,249
0.14,0.94,-0.07,-0.07,-0.03,-0.18,249
0.14,0.94,-0.07,-0.01,-0.02,-0.15,249
0.14,0.94,-0.07,-0.03,0.00,-0.06,249
0.14,0.94,-0.07,-0.03,0.00,0.02,249
0.14,0.94,-0.07,0.05,-0.00,0.04,249
0.14,0.94,-0.07,0.07,-0.00,0.05,249
0.14,0.94,-0.07,0.05,0.03,0.09,249
0.14,0.94,-0.07,0.05,0.03,0.12,249
0.14,0.94,-0.07,0.09,0.01,0.13,249
0.14,0.94,-0.07,0.08,0.02,0.14,249
0.14,0.94,-0.07,0.07,0.04,0.13,249
0.14,0.94,-0.07,0.05,0.06,0.13,249
0.14,0.94,-0.07,-0.03,0.02,0.12,249
0.14,0.94,-0.07,-0.04,-0.03,0.01,249
0.14,0.94,-0.07,-0.03,-0.04,-0.12,249
0.14,0.94,-0.07,-0.03,-0.00,-0.16,249
0.14,0.94,-0.07,-0.07,0.00,-0.15,249
0.14,0.94,-0.07,-0.10,0.00,-0.14,249
0.14,0.94,-0.07,-0.09,0.01,-0.16,249
0.14,0.94,-0.07,-0.06,0.02,-0.17,250
0.14,0.94,-0.07,-0.06,-0.01,-0.16,249
0.14,0.94,-0.07,-0.05,-0.02,-0.11,249
0.14,0.94,-0.07,-0.01,0.00,-0.06,250
0.14,0.94,-0.07,0.00,-0.04,-0.02,249
0.14,0.94,-0.07,0.02,-0.03,0.04,249
0.14,0.94,-0.07,0.07,-0.00,0.09,249
0.14,0.94,-0.07,0.10,0.01,0.19,249
0.14,0.94,-0.07,0.15,0.03,0.26,249
0.14,0.94,-0.07,0.14,0.06,0.26,249
0.14,0.94,-0.07,0.10,0.07,0.19,249
0.14,0.94,-0.07,0.13,0.04,0.13,249
0.14,0.94,-0.07,0.10,-0.01,0.03,249
0.14,0.94,-0.07,-0.04,-0.04,-0.04,249
0.14,0.94,-0.07,-0.13,-0.05,-0.08,249
0.14,0.94,-0.07,-0.11,-0.09,-0.19,249
0.14,0.94,-0.07,-0.07,-0.09,-0.25,250
0.14,0.94,-0.07,-0.11,-0.11,-0.27,249
0.14,0.94,-0.07,-0.13,-0.10,-0.25,249
0.14,0.94,-0.07,-0.06,0.00,-0.14,249
0.14,0.94,-0.07,0.00,0.00,0.01,249
0.14,0.94,-0.07,0.02,0.01,0.05,249
0.14,0.94,-0.07,0.03,0.05,0.02,249
0.14,0.94,-0.07,0.06,0.05,0.05,249
0.14,0.94,-0.07,0.07,0.02,0.13,249
0.14,0.94,-0.07,0.05,0.01,0.16,249
0.14,0.94,-0.07,0.07,0.02,0.12,249
0.14,0.94,-0.07,0.10,0.03,0.05,249
0.14,0.94,-0.07,0.09,-0.00,0.01,249
0.14,0.94,-0.07,0.07,0.04,0.04,249
0.14,0.94,-0.07,0.03,0.05,0.06,249
0.14,0.94,-0.07,-0.03,0.02,0.05,249
0.14,0.94,-0.07,-0.04,0.00,-0.05,249
0.14,0.94,-0.07,-0.06,-0.05,-0.14,249
0.14,0.94,-0.07,-0.08,-0.08,-0.14,249
0.14,0.94,-0.07,-0.09,-0.06,-0.11,249
0.14,0.94,-0.07,-0.11,-0.00,-0.09,249
0.14,0.94,-0.07,-0.09,-0.01,-0.09,249
0.14,0.94,-0.07,-0.07,-0.01,-0.06,249
0.14,0.94,-0.07,0.00,0.02,-0.03,249
0.14,0.94,-0.07,0.05,0.04,0.03,249
0.14,0.94,-0.07,0.07,0.02,0.07,249
0.14,0.94,-0.07,0.07,-0.00,0.09,249
0.14,0.94,-0.07,0.09,0.02,0.14,249
0.14,0.94,-0.07,0.08,0.03,0.15,249
0.14,0.94,-0.07,0.08,0.06,0.14,250
0.14,0.94,-0.07,0.06,0.07,0.12,249
0.14,0.94,-0.07,0.05,0.02,0.06,249
0.14,0.94,-0.07,0.00,0.01,0.02,250
0.14,0.94,-0.07,-0.03,0.01,-0.03,249
0.14,0.94,-0.07,-0.05,-0.02,-0.02,249
0.14,0.94,-0.07,-0.11,-0.02,-0.02,249
0.14,0.94,-0.07,-0.12,-0.05,-0.08,249
0.14,0.94,-0.07,-0.13,-0.08,-0.18,249
0.14,0.94,-0.07,-0.14,-0.08,-0.27,249
0.14,0.94,-0.07,-0.10,-0.08,-0.26,249
0.14,0.94,-0.07,-0.08,-0.01,-0.13,250
0.14,0.94,-0.07,-0.02,0.03,-0.04,249
0.14,0.94,-0.07,0.06,0.03,0.02,249
0.14,0.94,-0.07,0.09,0.04,0.08,249
0.14,0.94,-0.07,0.07,0.02,0.12,249
0.14,0.94,-0.07,0.08,0.01,0.20,249
0.14,0.94,-0.07,0.10,0.03,0.23,249
0.14,0.94,-0.07,0.07,0.00,0.17,249
0.14,0.94,-0.07,0.05,-0.03,0.06,250
0.14,0.94,-0.07,0.05,0.00,-0.01,249
0.14,0.94,-0.07,0.00,0.03,0.03,249
0.14,0.94,-0.07,-0.00,0.02,0.06,249
0.14,0.94,-0.07,-0.01,0.04,0.02,249
0.14,0.94,-0.07,-0.03,0.03,-0.12,249
0.14,0.94,-0.07,-0.08,-0.02,-0.22,249
0.14,0.94,-0.07,-0.09,-0.06,-0.20,249
0.14,0.94,-0.07,-0.07,-0.05,-0.13,249
0.14,0.94,-0.07,-0.08,-0.04,-0.09,249
0.14,0.94,-0.07,-0.03,-0.06,-0.05,249
0.14,0.94,-0.07,0.03,-0.02,-0.01,249
0.14,0.94,-0.07,0.02,0.01,0.05,249
0.14,0.94,-0.07,0.04,0.03,0.10,249
0.14,0.94,-0.07,0.09,0.09,0.09,249
0.14,0.94,-0.07,0.09,0.10,0.08,250
0.14,0.94,-0.07,0.09,0.08,0.08,249
0.14,0.94,-0.07,0.09,0.06,0.10,249
0.14,0.94,-0.07,0.04,0.01,0.09,249
0.14,0.94,-0.07,0.02,0.00,0.06,249
0.14,0.94,-0.07,-0.01,0.02,0.03,249
0.14,0.94,-0.07,-0.07,0.03,-0.03,249
0.14,0.94,-0.07,-0.07,0.00,-0.07,249
0.14,0.94,-0.07,-0.04,-0.01,-0.04,249
0.14,0.94,-0.07,-0.04,-0.00,-0.06,250
0.14,0.94,-0.07,-0.08,-0.06,-0.14,249
0.14,0.94,-0.07,-0.06,-0.09,-0.15,249
0.14,0.94,-0.07,-0.06,-0.03,-0.16,249
0.14,0.94,-0.07,-0.07,0.01,-0.08,249
0.14,0.94,-0.07,-0.04,0.02,-0.00,249
0.14,0.94,-0.07,-0.02,0.01,-0.03,249
0.14,0.94,-0.07,0.04,-0.00,-0.04,249
0.14,0.94,-0.07,0.04,0.02,0.00,249
0.14,0.94,-0.07,0.07,0.05,0.09,249
0.14,0.94,-0.07,0.15,0.05,0.17,249
0.14,0.94,-0.07,0.12,0.03,0.18,249
0.14,0.94,-0.07,0.10,0.02,0.17,249
0.14,0.94,-0.07,0.10,0.01,0.13,249
0.14,0.94,-0.07,0.10,0.02,0.11,249
0.14,0.94,-0.07,0.05,0.06,0.13,249
0.14,0.94,-0.07,-0.01,0.07,0.09,249
0.14,0.94,-0.07,-0.04,0.01,-0.05,249
0.14,0.94,-0.07,-0.06,-0.06,-0.17,249
0.14,0.94,-0.07,-0.06,-0.03,-0.22,249
0.14,0.94,-0.07,-0.08,-0.02,-0.17,249
0.14,0.94,-0.07,-0.09,-0.03,-0.09,249
0.14,0.94,-0.07,-0.06,0.01,-0.09,249
0.14,0.94,-0.07,-0.04,0.01,-0.14,249
0.14,0.94,-0.07,-0.00,-0.01,-0.18,249
0.14,0.94,-0.07,0.04,-0.01,-0.06,249
0.14,0.94,-0.07,0.04,0.05,0.10,249
0.14,0.94,-0.07,0.05,0.04,0.09,249
0.14,0.94,-0.07,0.07,-0.00,0.02,250
0.14,0.94,-0.07,0.09,0.05,0.05,249
0.14,0.94,-0.07,0.09,0.06,0.10,249
0.14,0.94,-0.07,0.06,0.05,0.15,249
0.14,0.94,-0.07,0.02,0.04,0.19,249
0.14,0.94,-0.07,-0.01,-0.01,0.07,249
0.14,0.94,-0.07,0.00,-0.06,-0.08,249
0.14,0.94,-0.07,-0.01,-0.01,-0.13,249
0.14,0.94,-0.07,-0.05,0.05,-0.06,249
0.14,0.94,-0.07,-0.04,0.05,0.01,249
0.14,0.94,-0.07,-0.03,0.02,-0.03,249
0.14,0.94,-0.07,0.00,-0.02,-0.10,249
0.14,0.94,-0.07,0.02,-0.01,-0.15,250
0.14,0.94,-0.07,0.02,0.01,-0.11,250
0.14,0.94,-0.07,0.02,-0.01,0.02,249
0.14,0.94,-0.07,0.02,-0.00,0.08,249
0.14,0.94,-0.07,0.01,-0.01,0.02,249
0.14,0.94,-0.07,0.05,-0.02,-0.02,249
0.14,0.94,-0.07,0.09,-0.01,0.02,249
0.14,0.94,-0.07,0.04,0.02,0.07,249
0.14,0.94,-0.07,0.03,0.03,0.13,249
0.14,0.94,-0.07,0.03,0.01,0.11,250
0.14,0.94,-0.07,0.01,0.01,0.04,249
0.14,0.94,-0.07,0.04,0.01,0.00,249
0.14,0.94,-0.07,0.01,-0.00,-0.01,249
0.14,0.94,-0.07,-0.04,-0.02,-0.04,249
0.14,0.94,-0.07,-0.06,0.01,-0.03,250
0.14,0.94,-0.07,-0.05,0.02,-0.02,249
0.14,0.94,-0.07,-0.04,-0.02,-0.08,249
0.14,0.94,-0.07,-0.03,-0.05,-0.11,249
0.14,0.94,-0.07,-0.03,-0.02,-0.06,249
0.14,0.94,-0.07,-0.01,-0.04,-0.05,249
0.14,0.94,-0.07,-0.02,-0.07,-0.09,249
0.14,0.94,-0.07,0.00,-0.02,-0.07,249
0.14,0.94,-0.07,0.05,-0.01,-0.02,249
0.14,0.94,-0.07,0.05,0.01,-0.00,249
0.14,0.94,-0.07,0.09,0.07,0.04,249
0.14,0.94,-0.07,0.09,0.09,0.11,249
0.14,0.94,-0.07,0.04,0.12,0.15,250
0.14,0.94,-0.07,-0.02,0.10,0.16,249
0.14,0.94,-0.07,-0.06,-0.02,0.10,249
0.14,0.94,-0.07,-0.07,-0.08,-0.00,249
0.14,0.94,-0.07,-0.04,-0.10,-0.09,249
0.14,0.94,-0.07,0.02,-0.08,-0.09,249
0.14,0.94,-0.07,-0.02,-0.04,-0.02,249
0.14,0.94,-0.07,-0.10,0.01,-0.00,249
0.14,0.94,-0.07,-0.08,0.03,-0.05,250
0.14,0.94,-0.07,-0.02,0.02,-0.06,249
0.14,0.94,-0.07,-0.04,-0.03,-0.03,249
0.14,0.94,-0.07,-0.04,-0.04,-0.02,249
0.14,0.94,-0.07,0.02,0.01,-0.01,249
0.14,0.94,-0.07,0.06,0.02,0.04,249
0.14,0.94,-0.07,0.09,0.01,0.03,249
0.14,0.94,-0.07,0.06,0.02,0.02,249
0.14,0.94,-0.07,0.08,0.05,0.10,249
0.14,0.94,-0.07,0.09,0.04,0.16,249
0.14,0.94,-0.07,0.03,0.04,0.20,249
0.14,0.94,-0.07,0.06,0.04,0.20,249
0.14,0.94,-0.07,0.08,-0.02,0.10,249
0.14,0.94,-0.07,-0.01,-0.06,0.02,249
0.14,0.94,-0.07,-0.08,-0.03,0.02,249
0.14,0.94,-0.07,-0.11,-0.05,-0.06,249
0.14,0.94,-0.07,-0.10,-0.11,-0.19,249
0.14,0.94,-0.07,-0.07,-0.08,-0.25,249
0.14,0.94,-0.07,-0.09,-0.06,-0.27,249
0.14,0.94,-0.07,-0.14,-0.05,-0.21,249
0.14,0.94,-0.07,-0.08,-0.00,-0.12,249
0.14,0.94,-0.07,-0.04,-0.01,-0.08,249
0.14,0.94,-0.07,-0.06,0.00,-0.07,249
0.14,0.94,-0.07,0.01,0.03,-0.03,249
0.14,0.94,-0.07,0.06,-0.00,0.07,249
0.14,0.94,-0.07,0.08,-0.01,0.13,249
0.14,0.94,-0.07,0.16,0.04,0.12,249
0.14,0.94,-0.07,0.11,0.08,0.14,249
0.14,0.94,-0.07,0.07,0.07,0.15,249
0.14,0.94,-0.07,0.13,0.07,0.10,249
0.14,0.94,-0.07,0.09,0.02,0.12,249
0.14,0.94,-0.07,-0.03,-0.06,0.05,249
0.14,0.94,-0.07,-0.06,-0.08,-0.08,249
0.14,0.94,-0.07,-0.03,-0.08,-0.13,249
0.14,0.94,-0.07,-0.05,-0.05,-0.11,249
0.14,0.94,-0.07,-0.08,-0.04,-0.11,249
0.14,0.94,-0.07,-0.05,-0.01,-0.05,249
0.14,0.94,-0.07,-0.03,0.04,0.00,249
0.14,0.94,-0.07,-0.03,0.07,0.01,249
0.14,0.94,-0.07,0.01,0.03,-0.03,249
0.14,0.94,-0.07,0.01,-0.02,-0.05,249
0.14,0.94,-0.07,-0.00,-0.04,0.02,249
0.14,0.94,-0.07,0.01,-0.06,0.03,249
0.14,0.94,-0.07,0.01,-0.03,0.00,249
0.14,0.94,-0.07,0.03,0.02,0.06,249
0.14,0.94,-0.07,0.06,0.02,0.12,249
0.14,0.94,-0.07,0.07,0.02,0.12,249
0.14,0.94,-0.07,0.11,0.02,0.13,250
0.14,0.94,-0.07,0.09,0.00,0.10,249
0.14,0.94,-0.07,0.00,0.02,0.04,249
0.14,0.94,-0.07,-0.04,0.01,-0.02,249
0.14,0.94,-0.07,-0.06,-0.04,-0.04,249
0.14,0.94,-0.07,-0.12,-0.08,-0.08,249
0.14,0.94,-0.07,-0.12,-0.07,-0.13,249
0.14,0.94,-0.07,-0.09,-0.00,-0.12,249
0.14,0.94,-0.07,-0.06,-0.02,-0.17,249
0.14,0.94,-0.07,-0.09,-0.03,-0.13,249
0.14,0.94,-0.07,-0.03,-0.00,-0.06,249
0.14,0.94,-0.07,-0.02,0.00,-0.12,249
0.14,0.94,-0.07,-0.07,0.00,-0.12,249
0.14,0.94,-0.07,0.05,-0.01,-0.02,249
0.14,0.94,-0.07,0.03,0.03,0.09,249
0.14,0.94,-0.07,-0.00,0.07,0.15,249
0.14,0.94,-0.07,0.12,0.05,0.17,249
0.14,0.94,-0.07,0.07,0.02,0.11,249
0.14,0.94,-0.07,0.04,0.05,0.07,249
0.14,0.94,-0.07,0.10,0.06,0.10,249
0.14,0.94,-0.07,0.01,0.02,0.15,249
0.14,0.94,-0.07,-0.02,0.01,0.15,249
0.14,0.94,-0.07,0.03,-0.00,0.05,249
0.14,0.94,-0.07,0.00,-0.05,-0.06,250
0.14,0.94,-0.07,-0.05,-0.08,-0.16,249
0.14,0.94,-0.07,-0.10,-0.06,-0.19,249
0.14,0.94,-0.07,-0.11,-0.02,-0.19,249
0.14,0.94,-0.07,-0.11,0.00,-0.20,249
0.14,0.94,-0.07,-0.08,-0.01,-0.17,249
0.14,0.94,-0.07,-0.02,-0.03,-0.14,249
0.14,0.94,-0.07,-0.03,-0.01,-0.12,249
0.14,0.94,-0.07,0.00,-0.02,-0.04,249
0.14,0.94,-0.07,0.02,-0.02,0.04,249
0.14,0.94,-0.07,0.05,0.01,0.03,249
0.14,0.94,-0.07,0.12,0.02,0.05,249
0.14,0.94,-0.07,0.08,0.05,0.14,249
0.14,0.94,-0.07,0.12,0.09,0.19,249
0.14,0.94,-0.07,0.15,0.13,0.23,249
0.14,0.94,-0.07,0.08,0.12,0.18,249
0.14,0.94,-0.07,0.00,0.06,0.06,249
0.14,0.94,-0.07,-0.10,-0.02,-0.02,249
0.14,0.94,-0.07,-0.11,-0.11,-0.11,249
0.14,0.94,-0.07,-0.14,-0.16,-0.19,249
0.14,0.94,-0.07,-0.13,-0.09,-0.15,249
0.14,0.94,-0.07,-0.06,-0.00,-0.11,249
0.14,0.94,-0.07,-0.03,0.03,-0.07,249
0.14,0.94,-0.07,0.04,0.05,0.05,249
0.14,0.94,-0.07,0.05,0.04,0.11,249
0.14,0.94,-0.07,0.03,0.05,0.08,249
0.14,0.94,-0.07,-0.01,0.01,0.07,249
0.14,0.94,-0.07,0.00,-0.05,0.06,249
0.14,0.94,-0.07,0.06,-0.03,0.06,249
0.14,0.94,-0.07,0.04,-0.00,0.10,249
0.14,0.94,-0.07,0.05,0.01,0.09,249
0.14,0.94,-0.07,0.09,0.05,0.12,249
0.14,0.94,-0.07,0.10,0.09,0.15,249
0.14,0.94,-0.07,0.03,0.05,0.09,249
0.14,0.94,-0.07,-0.01,-0.02,-0.01,249
0.14,0.94,-0.07,0.02,-0.03,-0.04,249
0.14,0.94,-0.07,-0.06,-0.07,-0.09,249
0.14,0.94,-0.07,-0.09,-0.11,-0.15,249
0.14,0.94,-0.07,-0.08,-0.10,-0.14,250
0.14,0.94,-0.07,-0.05,-0.04,-0.09,249
0.14,0.94,-0.07,-0.04,0.01,-0.03,249
0.14,0.94,-0.07,-0.03,0.03,0.02,250
0.14,0.94,-0.07,-0.01,0.04,-0.04,249
0.14,0.94,-0.07,0.01,0.02,-0.12,250
0.14,0.94,-0.07,0.05,0.02,-0.10,249
0.14,0.94,-0.07,0.00,0.02,-0.04,250
0.14,0.94,-0.07,-0.02,0.03,0.01,250
0.14,0.94,-0.07,0.04,0.03,0.07,249
0.14,0.94,-0.07,0.06,0.02,0.07,250
0.14,0.94,-0.07,0.04,0.02,0.07,249
0.14,0.94,-0.07,0.04,0.06,0.09,249
0.14,0.94,-0.07,0.03,0.06,0.10,249
0.14,0.94,-0.07,-0.01,-0.00,0.12,249
0.14,0.94,-0.07,-0.03,-0.04,0.10,250
0.14,0.94,-0.07,-0.01,-0.02,0.05,249
0.14,0.94,-0.07,-0.03,-0.03,-0.04,249
0.14,0.94,-0.07,-0.02,-0.08,-0.11,249
0.14,0.94,-0.07,-0.00,-0.01,-0.16,249
0.14,0.94,-0.07,-0.03,0.04,-0.12,249
0.14,0.94,-0.07,-0.02,0.03,-0.05,249
0.14,0.94,-0.07,0.01,0.06,-0.04,250
0.14,0.94,-0.07,0.03,0.06,-0.06,249
0.14,0.94,-0.07,-0.03,-0.03,-0.08,249
0.14,0.94,-0.07,-0.01,-0.04,-0.06,249
0.14,0.94,-0.07,0.06,-0.02,-0.01,249
0.14,0.94,-0.07,0.08,-0.05,0.07,249
0.14,0.94,-0.07,0.10,-0.02,0.12,249
0.14,0.94,-0.07,0.10,0.04,0.17,249
0.14,0.94,-0.07,0.11,0.10,0.21,249
0.14,0.94,-0.07,0.10,0.06,0.14,249
0.14,0.94,-0.07,0.08,0.04,0.09,249
0.14,0.94,-0.07,0.02,-0.01,0.06,249
0.14,0.94,-0.07,-0.04,-0.06,-0.01,249
0.14,0.94,-0.07,-0.05,-0.05,-0.06,249
0.14,0.94,-0.07,-0.09,-0.09,-0.13,249
0.14,0.94,-0.07,-0.12,-0.10,-0.16,249
0.14,0.94,-0.07,-0.08,-0.05,-0.14,249
0.14,0.94,-0.07,-0.08,0.00,-0.07,249
0.14,0.94,-0.07,-0.08,0.04,-0.00,249
0.14,0.94,-0.07,0.00,0.02,-0.05,249
0.14,0.94,-0.07,0.03,0.00,-0.09,249
0.14,0.94,-0.07,0.01,-0.00,-0.07,249
0.14,0.94,-0.07,0.05,-0.05,-0.04,249
0.14,0.94,-0.07,0.07,-0.03,0.03,249
0.14,0.94,-0.07,0.06,0.02,0.08,249
0.14,0.94,-0.07,0.06,0.03,0.13,249
0.14,0.94,-0.07,0.04,0.06,0.17,249
0.14,0.94,-0.07,0.04,0.07,0.10,249
0.14,0.94,-0.07,0.01,-0.01,-0.01,249
0.14,0.94,-0.07,-0.01,-0.07,-0.05,249
0.14,0.94,-0.07,-0.01,-0.05,-0.06,250
0.14,0.94,-0.07,-0.06,-0.02,-0.06,249
0.14,0.94,-0.07,-0.07,-0.02,-0.04,249
0.14,0.94,-0.07,-0.04,0.01,-0.11,249
0.14,0.94,-0.07,-0.01,0.04,-0.11,249
0.14,0.94,-0.07,-0.01,-0.01,0.00,249
0.14,0.94,-0.07,-0.05,-0.02,0.05,249
0.14,0.94,-0.07,-0.02,0.00,0.03,249
0.14,0.94,-0.07,0.01,0.01,-0.00,249
0.14,0.94,-0.07,0.04,0.05,0.05,250
0.14,0.94,-0.07,0.12,0.06,0.09,249
0.14,0.94,-0.07,0.13,0.02,0.10,249
0.14,0.94,-0.07,0.04,0.06,0.08,249
0.14,0.94,-0.07,0.05,0.10,0.10,249
0.14,0.94,-0.07,0.07,0.06,0.09,249
0.14,0.94,-0.07,0.02,0.03,0.03,249
0.14,0.94,-0.07,-0.04,0.02,0.02,249
0.14,0.94,-0.07,-0.03,-0.03,-0.05,249
0.14,0.94,-0.07,-0.03,-0.06,-0.08,249
0.14,0.94,-0.07,-0.09,-0.03,-0.07,249
0.14,0.94,-0.07,-0.04,-0.06,-0.12,249
0.14,0.94,-0.07,0.02,-0.03,-0.13,250
0.14,0.94,-0.07,-0.01,0.10,0.01,249
0.14,0.94,-0.07,-0.05,0.11,0.17,249
0.14,0.94,-0.07,-0.03,0.01,0.15,249
0.14,0.94,-0.07,0.04,-0.07,-0.09,249
0.14,0.94,-0.07,0.01,-0.13,-0.32,249
0.14,0.94,-0.07,0.02,-0.04,-0.23,249
0.14,0.94,-0.07,0.05,0.12,0.14,249
0.14,0.94,-0.07,-0.04,0.18,0.45,249
0.14,0.94,-0.07,-0.03,0.08,0.39,249
0.14,0.94,-0.07,0.05,-0.08,-0.04,249
0.14,0.94,-0.07,0.10,-0.07,-0.33,249
0.14,0.94,-0.07,0.07,0.04,-0.17,249
0.14,0.94,-0.07,-0.04,0.06,0.17,249
0.14,0.94,-0.07,-0.00,0.08,0.33,249
0.14,0.94,-0.07,0.04,0.11,0.18,249
0.14,0.94,-0.07,-0.02,-0.03,-0.12,249
0.14,0.94,-0.07,-0.03,-0.11,-0.33,249
0.14,0.94,-0.07,-0.06,-0.03,-0.18,249
0.14,0.94,-0.07,-0.11,0.01,0.09,249
0.14,0.94,-0.07,-0.09,0.00,0.04,249
0.14,0.94,-0.07,-0.04,-0.02,-0.20,250
0.14,0.94,-0.07,0.01,-0.02,-0.30,249
0.14,0.94,-0.07,0.02,-0.00,-0.15,249
0.14,0.94,-0.07,-0.02,0.06,0.09,249
0.14,0.94,-0.07,-0.01,0.13,0.26,249
0.14,0.94,-0.07,0.03,0.07,0.22,250
0.14,0.94,-0.07,0.07,-0.03,-0.04,249
0.14,0.94,-0.07,0.11,-0.04,-0.16,249
0.14,0.94,-0.07,0.11,0.06,0.04,249
0.14,0.94,-0.07,0.05,0.09,0.30,249
0.14,0.94,-0.07,0.03,0.12,0.34,249
0.14,0.94,-0.07,0.04,0.19,0.20,249
0.14,0.94,-0.07,-0.00,0.08,0.00,249
0.14,0.94,-0.07,-0.01,-0.05,-0.10,249
0.14,0.94,-0.07,-0.03,-0.05,-0.08,249
0.14,0.94,-0.07,-0.10,-0.03,-0.01,249
0.14,0.94,-0.07,-0.13,-0.06,-0.07,249
0.14,0.94,-0.07,-0.10,-0.07,-0.22,250
0.14,0.94,-0.07,-0.07,-0.02,-0.22,249
0.14,0.94,-0.07,-0.06,-0.00,-0.09,250
0.14,0.94,-0.07,-0.05,0.02,0.05,249
0.14,0.94,-0.07,0.02,0.08,0.11,249
0.14,0.94,-0.07,0.04,0.01,0.04,249
0.14,0.94,-0.07,0.01,-0.06,-0.08,249
0.14,0.94,-0.07,0.02,-0.05,-0.07,249
0.14,0.94,-0.07,0.06,0.04,0.06,249
0.14,0.94,-0.07,0.07,0.06,0.14,250
0.14,0.94,-0.07,0.05,-0.00,0.09,249
0.14,0.94,-0.07,0.08,-0.01,0.04,250
0.14,0.94,-0.07,0.06,0.02,0.01,249
0.14,0.94,-0.07,0.02,0.01,0.02,249
0.14,0.94,-0.07,0.04,0.01,0.07,249
0.14,0.94,-0.07,-0.01,0.03,0.02,249
0.14,0.94,-0.07,-0.07,-0.02,-0.09,249
0.14,0.94,-0.07,-0.06,-0.07,-0.17,249
0.14,0.94,-0.07,-0.08,-0.02,-0.17,249
0.14,0.94,-0.07,-0.10,0.01,-0.11,249
0.14,0.94,-0.07,-0.10,-0.00,-0.03,249
0.14,0.94,-0.07,-0.09,-0.02,-0.04,249
0.14,0.94,-0.07,-0.07,-0.03,-0.14,249
0.14,0.94,-0.07,-0.06,-0.05,-0.17,249
0.14,0.94,-0.07,0.01,-0.01,-0.14,249
0.14,0.94,-0.07,0.05,0.03,0.02,249
0.14,0.94,-0.07,0.06,0.05,0.19,249
0.14,0.94,-0.07,0.07,0.08,0.25,249
0.14,0.94,-0.07,0.06,0.08,0.22,249
0.14,0.94,-0.07,0.09,0.01,0.10,249
0.14,0.94,-0.07,0.07,-0.06,-0.02,249
0.14,0.94,-0.07,0.05,-0.03,0.01,249
0.14,0.94,-0.07,0.03,0.01,0.07,249
0.14,0.94,-0.07,-0.02,0.06,0.07,249
0.14,0.94,-0.07,-0.01,0.04,0.02,249
0.14,0.94,-0.07,-0.01,-0.03,-0.04,249
0.14,0.94,-0.07,-0.08,-0.02,-0.11,249
0.14,0.94,-0.07,-0.09,-0.01,-0.14,249
0.14,0.94,-0.07,-0.08,-0.05,-0.13,249
0.14,0.94,-0.07,-0.06,-0.09,-0.14,249
0.14,0.94,-0.07,0.01,-0.06,-0.14,249
0.14,0.94,-0.07,0.02,0.01,-0.10,249
0.14,0.94,-0.07,0.05,0.02,-0.04,249
0.14,0.94,-0.07,0.13,0.08,0.08,249
